Undergraduate Major,Starting Median Salary,Mid-Career Median Salary,Percent change from Starting to Mid-Career Salary
Accounting,46000.0,77100.0,67.6
Aerospace Engineering,57700.0,101000.0,75.0
Agriculture,42600.0,71900.0,68.8
Anthropology,36800.0,61500.0,67.1
Architecture,41600.0,76800.0,84.6
Art History,35800.0,64900.0,81.3
Biology,38800.0,64800.0,67.0
Business Management,43000.0,72100.0,67.7
Chemical Engineering,63200.0,107000.0,69.3
Chemistry,42600.0,79900.0,87.6
Civil Engineering,53900.0,90500.0,67.9
Communications,38100.0,70000.0,83.7
Computer Engineering,61400.0,105000.0,71.0
Computer Science,55900.0,95500.0,70.8
Construction,53700.0,88900.0,65.5
Criminal Justice,35000.0,56300.0,60.9
Drama,35900.0,56900.0,58.5
Economics,50100.0,98600.0,96.8
Education,34900.0,52000.0,49.0
Electrical Engineering,60900.0,103000.0,69.1
English,38000.0,64700.0,70.3
Film,37900.0,68500.0,80.7
Finance,47900.0,88300.0,84.3
Forestry,39100.0,62600.0,60.1
Geography,41200.0,65500.0,59.0
Geology,43500.0,79500.0,82.8
Graphic Design,35700.0,59800.0,67.5
Health Care Administration,38800.0,60600.0,56.2
History,39200.0,71000.0,81.1
Hospitality & Tourism,37800.0,57500.0,52.1
Industrial Engineering,57700.0,94700.0,64.1
Information Technology (IT),49100.0,74800.0,52.3
Interior Design,36100.0,53200.0,47.4
International Relations,40900.0,80900.0,97.8
Journalism,35600.0,66700.0,87.4
Management Information Systems (MIS),49200.0,82300.0,67.3
Marketing,40800.0,79600.0,95.1
Math,45400.0,92400.0,103.5
Mechanical Engineering,57900.0,93600.0,61.7
Music,35900.0,55000.0,53.2
Nursing,54200.0,67000.0,23.6
Nutrition,39900.0,55300.0,38.6
Philosophy,39900.0,81200.0,103.5
Physician Assistant,74300.0,91700.0,23.4
Physics,50300.0,97300.0,93.4
Political Science,40800.0,78200.0,91.7
Psychology,35900.0,60400.0,68.2
Religion,34100.0,52000.0,52.5
Sociology,36500.0,58200.0,59.5
Spanish,34000.0,53100.0,56.2
